"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","31P2R1A5","42P1R1A12","44P3R3A6","51P2R2A10","54P2R2A3"
"tpiA","","Triosephosphate isomerase","5","5","1","75","651","","","","767","767","767","31P2R1A5_02455","42P1R1A12_00322","44P3R3A6_02445","51P2R2A10_04157","54P2R2A3_01536"
"recG","","ATP-dependent DNA helicase RecG","5","5","1","75","640","","","","2081","2081","2081","31P2R1A5_02460","42P1R1A12_00317","44P3R3A6_02440","51P2R2A10_04152","54P2R2A3_01531"
"spoT","","Bifunctional (p)ppGpp synthase/hydrolase SpoT","5","5","1","75","636","","","","2120","2120","2120","31P2R1A5_02462","42P1R1A12_00315","44P3R3A6_02438","51P2R2A10_04150","54P2R2A3_01529"
"gmk","","Guanylate kinase","5","5","1","75","634","","","","623","623","623","31P2R1A5_02464","42P1R1A12_00313","44P3R3A6_02436","51P2R2A10_04148","54P2R2A3_01527"
"group_1309","","hypothetical protein","5","5","1","75","627","","","","863","863","863","31P2R1A5_02470","42P1R1A12_00309","44P3R3A6_02432","51P2R2A10_04144","54P2R2A3_01521"
"yebV","","putative protein YebV","5","5","1","74","5775","","","","239","239","239","31P2R1A5_01036","42P1R1A12_00402","44P3R3A6_01100","51P2R2A10_00296","54P2R2A3_02299"
"slmA","","Nucleoid occlusion factor SlmA","5","5","1","75","620","","","","533","596","570","31P2R1A5_02477","42P1R1A12_00306","44P3R3A6_02425","51P2R2A10_04141","54P2R2A3_01513"
"dut","","Deoxyuridine 5'-triphosphate nucleotidohydrolase","5","5","1","75","618","","","","458","458","458","31P2R1A5_02478","42P1R1A12_00305","44P3R3A6_02424","51P2R2A10_04140","54P2R2A3_01512"
"mutM","","Formamidopyrimidine-DNA glycosylase","5","5","1","75","611","","","","809","809","809","31P2R1A5_02483","42P1R1A12_00300","44P3R3A6_02419","51P2R2A10_04131","54P2R2A3_01507"
"group_13204","","hypothetical protein","5","5","1","74","5574","","","","242","242","242","31P2R1A5_01168","42P1R1A12_00526","44P3R3A6_00974","51P2R2A10_00414","54P2R2A3_03192"
"fis","","DNA-binding protein Fis","5","5","1","74","6842","","","","296","296","296","31P2R1A5_05138","42P1R1A12_05242","44P3R3A6_04965","51P2R2A10_05175","54P2R2A3_01249"
"ftsL","","Cell division protein FtsL","5","5","1","76","337","","","","365","365","365","31P2R1A5_03763","42P1R1A12_01566","44P3R3A6_04028","51P2R2A10_04662","54P2R2A3_02537"
"nuoB","","NADH-quinone oxidoreductase subunit B","5","5","1","74","8257","","","","674","674","674","31P2R1A5_02983","42P1R1A12_02433","44P3R3A6_01927","51P2R2A10_03610","54P2R2A3_00620"
"mreB","","Cell shape-determining protein MreB","5","5","1","74","6859","","","","1043","1043","1043","31P2R1A5_05127","42P1R1A12_05254","44P3R3A6_04976","51P2R2A10_05187","54P2R2A3_01238"
"csrA","","Carbon storage regulator","5","5","1","74","10620","","","","185","185","185","31P2R1A5_02102","42P1R1A12_01425","44P3R3A6_02848","51P2R2A10_02636","54P2R2A3_01804"
"rpmI","","50S ribosomal protein L35","5","5","1","74","9090","","","","197","197","197","31P2R1A5_01218","42P1R1A12_00572","44P3R3A6_00923","51P2R2A10_00461","54P2R2A3_03240"
"rpsS","","30S ribosomal protein S19","5","5","1","79","19","","","","278","278","278","31P2R1A5_05213","42P1R1A12_05687","44P3R3A6_05303","51P2R2A10_05349","54P2R2A3_04910"
"crp","","cAMP-activated global transcriptional regulator CRP","5","5","1","75","226","","","","632","632","632","31P2R1A5_02734","42P1R1A12_00022","44P3R3A6_02182","51P2R2A10_03871","54P2R2A3_01275"
"eutM","","Ethanolamine utilization protein EutM","5","5","1","74","8085","","","","290","290","290","31P2R1A5_02865","42P1R1A12_01745","44P3R3A6_02045","51P2R2A10_03731","54P2R2A3_00733"
"rpsR","","30S ribosomal protein S18","5","5","1","74","4881","","","","227","227","227","31P2R1A5_04188","42P1R1A12_04687","44P3R3A6_03889","51P2R2A10_04411","54P2R2A3_03954"
"rpoA","","DNA-directed RNA polymerase subunit alpha","5","5","1","79","40","","","","989","989","989","31P2R1A5_05232","42P1R1A12_05707","44P3R3A6_05283","51P2R2A10_05329","54P2R2A3_04891"
"diaA","","DnaA initiator-associating protein DiaA","5","5","1","74","7001","","","","590","590","590","31P2R1A5_03555","42P1R1A12_04139","44P3R3A6_03614","51P2R2A10_02089","54P2R2A3_01136"
"rpsN","","30S ribosomal protein S14","5","5","1","79","28","","","","305","305","305","31P2R1A5_05222","42P1R1A12_05696","44P3R3A6_05294","51P2R2A10_05340","54P2R2A3_04901"
"rpsL","","30S ribosomal protein S12","5","5","1","75","200","","","","374","374","374","31P2R1A5_02750","42P1R1A12_00003","44P3R3A6_02166","51P2R2A10_03852","54P2R2A3_01259"
"glnB","","Nitrogen regulatory protein P-II","5","5","1","74","7927","","","","338","338","338","31P2R1A5_02787","42P1R1A12_01656","44P3R3A6_02129","51P2R2A10_03816","54P2R2A3_00845"
"rplV","","50S ribosomal protein L22","5","5","1","79","20","","","","332","332","332","31P2R1A5_05214","42P1R1A12_05688","44P3R3A6_05302","51P2R2A10_05348","54P2R2A3_04909"
"ptsH","","Phosphocarrier protein HPr","5","5","1","74","8126","","","","257","257","257","31P2R1A5_02894","42P1R1A12_01775","44P3R3A6_02016","51P2R2A10_03701","54P2R2A3_00704"
"rpmD","","50S ribosomal protein L30","5","5","1","79","33","","","","179","179","179","31P2R1A5_05227","42P1R1A12_05701","44P3R3A6_05289","51P2R2A10_05335","54P2R2A3_04896"
"rpsU","","30S ribosomal protein S21","5","5","1","74","7136","","","","215","215","215","31P2R1A5_03478","42P1R1A12_02978","44P3R3A6_03535","51P2R2A10_02160","54P2R2A3_01049"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","5","5","1","74","7949","","","","386","386","386","31P2R1A5_02800","42P1R1A12_01672","44P3R3A6_02116","51P2R2A10_03800","54P2R2A3_00828"
"ompR_2","","Transcriptional regulatory protein OmpR","5","5","1","75","176","","","","719","719","719","31P2R1A5_02702","42P1R1A12_00170","44P3R3A6_02215","51P2R2A10_04003","54P2R2A3_01306"
"aaeX","","Protein AaeX","5","5","1","74","6870","","","","203","203","203","31P2R1A5_05119","42P1R1A12_05263","44P3R3A6_04984","51P2R2A10_05196","54P2R2A3_01230"
"rpsJ","","30S ribosomal protein S10","5","5","1","79","14","","","","311","311","311","31P2R1A5_05208","42P1R1A12_05682","44P3R3A6_05308","51P2R2A10_05354","54P2R2A3_04915"
"atpE","","ATP synthase subunit c","5","5","1","75","774","","","","239","239","239","31P2R1A5_04764","42P1R1A12_05371","44P3R3A6_04576","51P2R2A10_04970","54P2R2A3_04161"
"rplP","","50S ribosomal protein L16","5","5","1","79","22","","","","410","410","410","31P2R1A5_05216","42P1R1A12_05690","44P3R3A6_05300","51P2R2A10_05346","54P2R2A3_04907"
"hldD","","ADP-L-glycero-D-manno-heptose-6-epimerase","5","5","1","75","596","","","","932","944","934","31P2R1A5_02497","42P1R1A12_00286","44P3R3A6_02405","51P2R2A10_04117","54P2R2A3_01493"
"cspC","","Cold shock-like protein CspC","5","5","1","74","5754","","","","209","209","209","31P2R1A5_01048","42P1R1A12_00414","44P3R3A6_01088","51P2R2A10_00308","54P2R2A3_02287"
"rplW","","50S ribosomal protein L23","5","5","1","79","17","","","","302","302","302","31P2R1A5_05211","42P1R1A12_05685","44P3R3A6_05305","51P2R2A10_05351","54P2R2A3_04912"
"acpP","","Acyl carrier protein","5","5","1","74","7498","","","","236","236","236","31P2R1A5_01494","42P1R1A12_02067","44P3R3A6_04758","51P2R2A10_01730","54P2R2A3_04613"
"rpmC","","50S ribosomal protein L29","5","5","1","79","23","","","","191","191","191","31P2R1A5_05217","42P1R1A12_05691","44P3R3A6_05299","51P2R2A10_05345","54P2R2A3_04906"
"atpF","","ATP synthase subunit b","5","5","1","75","775","","","","470","470","470","31P2R1A5_04763","42P1R1A12_05370","44P3R3A6_04577","51P2R2A10_04969","54P2R2A3_04160"
"secY","","Protein translocase subunit SecY","5","5","1","79","35","","","","1331","1331","1331","31P2R1A5_05229","42P1R1A12_05703","44P3R3A6_05287","51P2R2A10_05333","54P2R2A3_04894"
"ilvC","","Ketol-acid reductoisomerase (NADP(+))","5","5","1","78","120","","","","1475","1475","1475","31P2R1A5_04795","42P1R1A12_05902","44P3R3A6_04711","51P2R2A10_05071","54P2R2A3_04365"
"rpsF","","30S ribosomal protein S6","5","5","1","74","4879","","","","395","395","395","31P2R1A5_04190","42P1R1A12_04685","44P3R3A6_03887","51P2R2A10_04409","54P2R2A3_03952"
"rplC","","50S ribosomal protein L3","5","5","1","79","15","","","","629","629","629","31P2R1A5_05209","42P1R1A12_05683","44P3R3A6_05307","51P2R2A10_05353","54P2R2A3_04914"
"lptB_3","","Lipopolysaccharide export system ATP-binding protein LptB","5","5","1","74","6924","","","","725","725","725","31P2R1A5_03609","42P1R1A12_04087","44P3R3A6_03668","51P2R2A10_02024","54P2R2A3_01190"
"kbl","","2-amino-3-ketobutyrate coenzyme A ligase","5","5","1","75","595","","","","1193","1193","1193","31P2R1A5_02498","42P1R1A12_00285","44P3R3A6_02404","51P2R2A10_04116","54P2R2A3_01492"
"speB","","Agmatinase","5","5","1","74","6610","","","","920","920","920","31P2R1A5_03376","42P1R1A12_03817","44P3R3A6_03447","51P2R2A10_02259","54P2R2A3_00895"
"rplR","","50S ribosomal protein L18","5","5","1","79","31","","","","353","353","353","31P2R1A5_05225","42P1R1A12_05699","44P3R3A6_05291","51P2R2A10_05337","54P2R2A3_04898"
"lrp_2","","Leucine-responsive regulatory protein","5","5","1","74","1009","","","","494","494","494","31P2R1A5_01662","42P1R1A12_02848","44P3R3A6_01291","51P2R2A10_01469","54P2R2A3_03659"
"rpoH","","RNA polymerase sigma factor RpoH","5","5","1","75","378","","","","854","854","854","31P2R1A5_02650","42P1R1A12_00095","44P3R3A6_02267","51P2R2A10_03945","54P2R2A3_01358"
"prs","","Ribose-phosphate pyrophosphokinase","5","5","1","74","5586","","","","947","947","947","31P2R1A5_01156","42P1R1A12_00514","44P3R3A6_00986","51P2R2A10_00402","54P2R2A3_03180"
"tgt","","Queuine tRNA-ribosyltransferase","5","5","1","74","10112","","","","1127","1127","1127","31P2R1A5_03241","42P1R1A12_00822","44P3R3A6_03372","51P2R2A10_03226","54P2R2A3_02040"
"ahpC_2","","Alkyl hydroperoxide reductase C","5","5","1","74","10115","","","","602","602","602","31P2R1A5_03238","42P1R1A12_00825","44P3R3A6_03375","51P2R2A10_03229","54P2R2A3_02037"
"cysE","","Serine acetyltransferase","5","5","1","75","585","","","","821","821","821","31P2R1A5_02508","42P1R1A12_00275","44P3R3A6_02394","51P2R2A10_04106","54P2R2A3_01482"
"raiA","","Ribosome-associated inhibitor A","5","5","1","74","10450","","","","335","335","335","31P2R1A5_01977","42P1R1A12_03760","44P3R3A6_05033","51P2R2A10_02736","54P2R2A3_01894"
"phoU","","Phosphate-specific transport system accessory protein PhoU","5","5","1","75","794","","","","725","725","725","31P2R1A5_04751","42P1R1A12_05357","44P3R3A6_04589","51P2R2A10_04956","54P2R2A3_04148"
"tdh","","L-threonine 3-dehydrogenase","5","5","1","75","594","","","","1025","1025","1025","31P2R1A5_02499","42P1R1A12_00284","44P3R3A6_02403","51P2R2A10_04115","54P2R2A3_01491"
"cyoD","","Cytochrome bo(3) ubiquinol oxidase subunit 4","5","5","1","74","10063","","","","329","329","329","31P2R1A5_03275","42P1R1A12_00786","44P3R3A6_03338","51P2R2A10_03191","54P2R2A3_02074"
"fnr","","Fumarate and nitrate reduction regulatory protein","5","5","1","74","8745","","","","752","752","752","31P2R1A5_00284","42P1R1A12_01842","44P3R3A6_00134","51P2R2A10_00658","54P2R2A3_02776"
"iscA","","Iron-binding protein IscA","5","5","1","74","7951","","","","323","323","323","31P2R1A5_02801","42P1R1A12_01673","44P3R3A6_02115","51P2R2A10_03799","54P2R2A3_00827"
"rpsD","","30S ribosomal protein S4","5","5","1","79","39","","","","620","620","620","31P2R1A5_05231","42P1R1A12_05706","44P3R3A6_05284","51P2R2A10_05330","54P2R2A3_04892"
"glyQ","","Glycine--tRNA ligase alpha subunit","5","5","1","75","527","","","","911","911","911","31P2R1A5_02546","42P1R1A12_00234","44P3R3A6_02365","51P2R2A10_04066","54P2R2A3_01453"
"aroK","","Shikimate kinase 1","5","5","1","75","266","","","","521","521","521","31P2R1A5_02716","42P1R1A12_00041","44P3R3A6_02200","51P2R2A10_03890","54P2R2A3_01293"
"mrdB","","Peptidoglycan glycosyltransferase MrdB","5","5","1","74","1584","","","","1112","1112","1112","31P2R1A5_01920","42P1R1A12_01141","44P3R3A6_01591","51P2R2A10_02816","54P2R2A3_03070"
"arcA","","Aerobic respiration control protein ArcA","5","5","1","76","484","","","","716","716","716","31P2R1A5_04384","42P1R1A12_02189","44P3R3A6_04220","51P2R2A10_04858","54P2R2A3_02613"
"fbp","","Fructose-1,6-bisphosphatase class 1","5","5","1","74","4913","","","","998","998","998","31P2R1A5_04907","42P1R1A12_04462","44P3R3A6_04332","51P2R2A10_04446","54P2R2A3_03984"
"rplN","","50S ribosomal protein L14","5","5","1","79","25","","","","371","371","371","31P2R1A5_05219","42P1R1A12_05693","44P3R3A6_05297","51P2R2A10_05343","54P2R2A3_04904"
"fbaA_1","","Fructose-bisphosphate aldolase class 2","5","5","1","74","6595","","","","1079","1079","1079","31P2R1A5_02420","42P1R1A12_03827","44P3R3A6_02510","51P2R2A10_02269","54P2R2A3_04440"
"nagB","","Glucosamine-6-phosphate deaminase","5","5","1","74","1626","","","","800","800","800","31P2R1A5_01887","42P1R1A12_01107","44P3R3A6_01558","51P2R2A10_02783","54P2R2A3_03037"
"clpP","","ATP-dependent Clp protease proteolytic subunit","5","5","1","74","10054","","","","623","623","623","31P2R1A5_03283","42P1R1A12_00778","44P3R3A6_03330","51P2R2A10_03183","54P2R2A3_02082"
"atpD","","ATP synthase subunit beta","5","5","1","75","779","","","","1382","1382","1382","31P2R1A5_04759","42P1R1A12_05366","44P3R3A6_04581","51P2R2A10_04965","54P2R2A3_04156"
"glyA","","Serine hydroxymethyltransferase","5","5","1","74","7929","","","","1253","1253","1253","31P2R1A5_02789","42P1R1A12_01658","44P3R3A6_02127","51P2R2A10_03814","54P2R2A3_00843"
"ftsA_2","","Cell division protein FtsA","5","5","1","76","325","","","","1256","1262","1259","31P2R1A5_03752","42P1R1A12_01555","44P3R3A6_04017","51P2R2A10_04651","54P2R2A3_02526"
"rplJ","","50S ribosomal protein L10","5","5","1","80","49","","","","497","497","497","31P2R1A5_05151","42P1R1A12_05475","44P3R3A6_05094","51P2R2A10_05270","54P2R2A3_04848"
"lacC","","Tagatose-6-phosphate kinase","5","5","1","74","3791","","","","938","938","938","31P2R1A5_05098","42P1R1A12_03446","44P3R3A6_01837","51P2R2A10_03520","54P2R2A3_00542"
"trxA","","Thioredoxin 1","5","5","1","78","143","","","","329","329","329","31P2R1A5_04803","42P1R1A12_04561","44P3R3A6_04702","51P2R2A10_05055","54P2R2A3_04374"
"metJ","","Met repressor","5","5","1","77","71","","","","317","317","317","31P2R1A5_04630","42P1R1A12_03277","44P3R3A6_04536","51P2R2A10_05145","54P2R2A3_04011"
"gpmI","","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","5","5","1","75","590","","","","1544","1544","1544","31P2R1A5_02503","42P1R1A12_00280","44P3R3A6_02399","51P2R2A10_04111","54P2R2A3_01487"
"sucC","","Succinate--CoA ligase [ADP-forming] subunit beta","5","5","1","74","1700","","","","1166","1166","1166","31P2R1A5_01850","42P1R1A12_01059","44P3R3A6_01521","51P2R2A10_02744","54P2R2A3_03000"
"yccA","","Modulator of FtsH protease YccA","5","5","1","74","7359","","","","659","659","659","31P2R1A5_01592","42P1R1A12_03883","44P3R3A6_01216","51P2R2A10_01549","54P2R2A3_04315"
"rpsC","","30S ribosomal protein S3","5","5","1","79","21","","","","698","698","698","31P2R1A5_05215","42P1R1A12_05689","44P3R3A6_05301","51P2R2A10_05347","54P2R2A3_04908"
"rpsI","","30S ribosomal protein S9","5","5","1","74","6897","","","","392","392","392","31P2R1A5_03627","42P1R1A12_04069","44P3R3A6_03686","51P2R2A10_02010","54P2R2A3_01208"
"rbfA","","30S ribosome-binding factor","5","5","1","74","6968","","","","401","401","401","31P2R1A5_03573","42P1R1A12_04120","44P3R3A6_03632","51P2R2A10_02057","54P2R2A3_01154"
"purA","","Adenylosuccinate synthetase","5","5","1","74","4859","","","","1298","1298","1298","31P2R1A5_04208","42P1R1A12_04666","44P3R3A6_03869","51P2R2A10_04390","54P2R2A3_03934"
"pyrH","","Uridylate kinase","5","5","1","76","182","","","","725","725","725","31P2R1A5_03665","42P1R1A12_01461","44P3R3A6_03929","51P2R2A10_04564","54P2R2A3_04235"
"crr","","PTS system glucose-specific EIIA component","5","5","1","74","8124","","","","509","509","509","31P2R1A5_02892","42P1R1A12_01773","44P3R3A6_02018","51P2R2A10_03703","54P2R2A3_00706"
"ftsH","","ATP-dependent zinc metalloprotease FtsH","5","5","1","74","6954","","","","1943","1943","1943","31P2R1A5_03586","42P1R1A12_04110","44P3R3A6_03645","51P2R2A10_02047","54P2R2A3_01167"
"yibN","","putative protein YibN","5","5","1","75","589","","","","431","431","431","31P2R1A5_02504","42P1R1A12_00279","44P3R3A6_02398","51P2R2A10_04110","54P2R2A3_01486"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","5","5","1","76","172","","","","455","455","455","31P2R1A5_03656","42P1R1A12_01452","44P3R3A6_03920","51P2R2A10_04555","54P2R2A3_04244"
"rnc","","Ribonuclease 3","5","5","1","74","7904","","","","680","680","680","31P2R1A5_02773","42P1R1A12_01642","44P3R3A6_02143","51P2R2A10_03830","54P2R2A3_00859"
"rlmE","","Ribosomal RNA large subunit methyltransferase E","5","5","1","74","6953","","","","629","629","629","31P2R1A5_03587","42P1R1A12_04109","44P3R3A6_03646","51P2R2A10_02046","54P2R2A3_01168"
"nuoH","","NADH-quinone oxidoreductase subunit H","5","5","1","74","8262","","","","977","977","977","31P2R1A5_02988","42P1R1A12_02428","44P3R3A6_01922","51P2R2A10_03605","54P2R2A3_00615"
"ftsZ","","Cell division protein FtsZ","5","5","1","76","324","","","","1151","1151","1151","31P2R1A5_03751","42P1R1A12_01554","44P3R3A6_04016","51P2R2A10_04650","54P2R2A3_02525"
"rplS","","50S ribosomal protein L19","5","5","1","74","10465","","","","347","347","347","31P2R1A5_01987","42P1R1A12_03750","44P3R3A6_05023","51P2R2A10_02726","54P2R2A3_01884"
"group_13287","","hypothetical protein","5","5","1","74","10017","","","","215","215","215","31P2R1A5_03304","42P1R1A12_00756","44P3R3A6_03309","51P2R2A10_03159","54P2R2A3_02110"
"hupA","","DNA-binding protein HU-alpha","5","5","1","80","27","","","","272","272","272","31P2R1A5_05170","42P1R1A12_05494","44P3R3A6_05075","51P2R2A10_05251","54P2R2A3_04867"
"nadK","","NAD kinase","5","5","1","74","10476","","","","878","878","878","31P2R1A5_01995","42P1R1A12_03742","44P3R3A6_05015","51P2R2A10_02718","54P2R2A3_01876"
"grxC","","Glutaredoxin 3","5","5","1","75","588","","","","251","251","251","31P2R1A5_02505","42P1R1A12_00278","44P3R3A6_02397","51P2R2A10_04109","54P2R2A3_01485"
"ndk","","Nucleoside diphosphate kinase","5","5","1","74","7963","","","","431","431","431","31P2R1A5_02812","42P1R1A12_01685","44P3R3A6_02104","51P2R2A10_03789","54P2R2A3_00816"
"hycE","","Formate hydrogenlyase subunit 5","5","5","1","74","2797","","","","1709","1709","1709","31P2R1A5_02134","42P1R1A12_01395","44P3R3A6_02813","51P2R2A10_02606","54P2R2A3_01773"
"radA","","DNA repair protein RadA","5","5","1","76","503","","","","1382","1382","1382","31P2R1A5_04371","42P1R1A12_02201","44P3R3A6_04208","51P2R2A10_04846","54P2R2A3_02625"
"yggX","","putative Fe(2+)-trafficking protein","5","5","1","74","7227","","","","275","275","275","31P2R1A5_03411","42P1R1A12_03793","44P3R3A6_03468","51P2R2A10_02235","54P2R2A3_00916"
"sdhB","","Succinate dehydrogenase iron-sulfur subunit","5","5","1","74","1697","","","","716","716","716","31P2R1A5_01853","42P1R1A12_01062","44P3R3A6_01524","51P2R2A10_02747","54P2R2A3_03003"
"rlmH","","Ribosomal RNA large subunit methyltransferase H","5","5","1","74","1586","","","","467","467","467","31P2R1A5_01918","42P1R1A12_01139","44P3R3A6_01589","51P2R2A10_02814","54P2R2A3_03068"
"ihfB","","Integration host factor subunit beta","5","5","1","74","7288","","","","287","287","287","31P2R1A5_01644","42P1R1A12_02824","44P3R3A6_01273","51P2R2A10_01494","54P2R2A3_04831"
