"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","18P3R3A11","37P2R3-2A1","38P2R3A13","47P2R3A6","52P2R3A10","56P2R2A4"
"nuoK","","NADH-quinone oxidoreductase subunit K","6","6","1","166","6394","","","","302","302","302","18P3R3A11_02410","37P2R3-2A1_01847","38P2R3A13_02837","47P2R3A6_00245","52P2R3A10_01928","56P2R2A4_01651"
"group_1032","","hypothetical protein","6","6","1","168","281","","","","863","863","863","18P3R3A11_02205","37P2R3-2A1_03305","38P2R3A13_04661","47P2R3A6_03679","52P2R3A10_04169","56P2R2A4_03404"
"cyoE","","Protoheme IX farnesyltransferase","6","6","1","166","7147","","","","887","887","887","18P3R3A11_02302","37P2R3-2A1_01333","38P2R3A13_01247","47P2R3A6_03432","52P2R3A10_01381","56P2R2A4_00781"
"dauR","","Transcriptional regulator DauR","6","6","1","169","245","","","","722","722","722","18P3R3A11_01930","37P2R3-2A1_02810","38P2R3A13_02308","47P2R3A6_03809","52P2R3A10_03190","56P2R2A4_03200"
"cysC","","Adenylyl-sulfate kinase","6","6","1","166","4516","","","","605","605","605","18P3R3A11_04219","37P2R3-2A1_02787","38P2R3A13_02044","47P2R3A6_01807","52P2R3A10_02530","56P2R2A4_02706"
"pyrG_2","","CTP synthase","6","6","1","166","4534","","","","1637","1637","1637","18P3R3A11_04234","37P2R3-2A1_02772","38P2R3A13_02059","47P2R3A6_01792","52P2R3A10_02545","56P2R2A4_02690"
"ptsO","","Phosphocarrier protein NPr","6","6","1","166","1616","","","","272","272","272","18P3R3A11_02681","37P2R3-2A1_03459","38P2R3A13_03040","47P2R3A6_01400","52P2R3A10_02769","56P2R2A4_02924"
"raiA","","Ribosome-associated inhibitor A","6","6","1","166","4263","","","","341","341","341","18P3R3A11_04278","37P2R3-2A1_03535","38P2R3A13_01890","47P2R3A6_04106","52P2R3A10_02377","56P2R2A4_02853"
"pyrH","","Uridylate kinase","6","6","1","167","246","","","","725","725","725","18P3R3A11_03494","37P2R3-2A1_02482","38P2R3A13_03553","47P2R3A6_02427","52P2R3A10_02343","56P2R2A4_02299"
"ftsA","","Cell division protein FtsA","6","6","1","167","388","","","","1256","1256","1256","18P3R3A11_03706","37P2R3-2A1_02401","38P2R3A13_02603","47P2R3A6_02496","52P2R3A10_02274","56P2R2A4_02367"
"yejK","","Nucleoid-associated protein YejK","6","6","1","166","6302","","","","1007","1007","1007","18P3R3A11_02458","37P2R3-2A1_01799","38P2R3A13_02880","47P2R3A6_00298","52P2R3A10_01971","56P2R2A4_01694"
"chrR","","Quinone reductase","6","6","1","168","146","","","","566","566","566","18P3R3A11_02913","37P2R3-2A1_04232","38P2R3A13_03340","47P2R3A6_03768","52P2R3A10_03657","56P2R2A4_03652"
"nuoE","","NADH-quinone oxidoreductase subunit E","6","6","1","166","6400","","","","500","500","500","18P3R3A11_02404","37P2R3-2A1_01853","38P2R3A13_02831","47P2R3A6_00239","52P2R3A10_01922","56P2R2A4_01645"
"tgt","","Queuine tRNA-ribosyltransferase","6","6","1","166","7109","","","","1127","1127","1127","18P3R3A11_02325","37P2R3-2A1_01310","38P2R3A13_01269","47P2R3A6_03410","52P2R3A10_01403","56P2R2A4_00759"
"hslV","","ATP-dependent protease subunit HslV","6","6","1","170","58","","","","530","530","530","18P3R3A11_03936","37P2R3-2A1_03827","38P2R3A13_03912","47P2R3A6_04239","52P2R3A10_03889","56P2R2A4_03528"
"dnaJ","","Chaperone protein DnaJ","6","6","1","167","470","","","","1145","1145","1145","18P3R3A11_01530","37P2R3-2A1_02342","38P2R3A13_02543","47P2R3A6_02562","52P2R3A10_02214","56P2R2A4_02427"
"cspC","","Cold shock-like protein CspC","6","6","1","166","2864","","","","209","209","209","18P3R3A11_01737","37P2R3-2A1_03111","38P2R3A13_01710","47P2R3A6_00715","52P2R3A10_01592","56P2R2A4_00174"
"rplU","","50S ribosomal protein L21","6","6","1","166","1639","","","","311","311","311","18P3R3A11_02661","37P2R3-2A1_03439","38P2R3A13_03020","47P2R3A6_01420","52P2R3A10_02749","56P2R2A4_02944"
"clpX","","ATP-dependent Clp protease ATP-binding subunit ClpX","6","6","1","166","7157","","","","1274","1274","1274","18P3R3A11_02292","37P2R3-2A1_01343","38P2R3A13_01237","47P2R3A6_03442","52P2R3A10_01371","56P2R2A4_00791"
"infC","","Translation initiation factor IF-3","6","6","1","166","952","","","","341","341","341","18P3R3A11_00455","37P2R3-2A1_00450","38P2R3A13_00566","47P2R3A6_02059","52P2R3A10_00563","56P2R2A4_02099"
"purR","","HTH-type transcriptional repressor PurR","6","6","1","166","852","","","","1025","1025","1025","18P3R3A11_00379","37P2R3-2A1_00534","38P2R3A13_00496","47P2R3A6_01976","52P2R3A10_00495","56P2R2A4_02030"
"iscS","","Cysteine desulfurase IscS","6","6","1","166","6640","","","","1214","1214","1214","18P3R3A11_03222","37P2R3-2A1_02055","38P2R3A13_03491","47P2R3A6_00047","52P2R3A10_02882","56P2R2A4_01434"
"hemH","","Ferrochelatase","6","6","1","166","7209","","","","962","962","962","18P3R3A11_02243","37P2R3-2A1_01392","38P2R3A13_01188","47P2R3A6_03490","52P2R3A10_01322","56P2R2A4_00838"
"fcl","","GDP-L-fucose synthase","6","6","1","166","6092","","","","965","965","965","18P3R3A11_04520","37P2R3-2A1_03686","38P2R3A13_01474","47P2R3A6_00421","52P2R3A10_02085","56P2R2A4_01803"
"mlaE","","Intermembrane phospholipid transport system permease protein MlaE","6","6","1","166","1629","","","","782","782","782","18P3R3A11_02669","37P2R3-2A1_03447","38P2R3A13_03028","47P2R3A6_01412","52P2R3A10_02757","56P2R2A4_02936"
"cpxA","","Sensor histidine kinase CpxA","6","6","1","170","90","","","","1373","1373","1373","18P3R3A11_03956","37P2R3-2A1_03847","38P2R3A13_03891","47P2R3A6_04259","52P2R3A10_03868","56P2R2A4_03547"
"hemA","","Glutamyl-tRNA reductase","6","6","1","166","3054","","","","1256","1256","1256","18P3R3A11_04256","37P2R3-2A1_04285","38P2R3A13_02625","47P2R3A6_00806","52P2R3A10_03356","56P2R2A4_00264"
"pepA_1","","Cytosol aminopeptidase","6","6","1","166","1610","","","","1511","1511","1511","18P3R3A11_02687","37P2R3-2A1_03465","38P2R3A13_03046","47P2R3A6_01394","52P2R3A10_02775","56P2R2A4_02918"
"gmk","","Guanylate kinase","6","6","1","168","274","","","","623","623","623","18P3R3A11_02208","37P2R3-2A1_03308","38P2R3A13_04658","47P2R3A6_03682","52P2R3A10_04166","56P2R2A4_03401"
"fnr","","Fumarate and nitrate reduction regulatory protein","6","6","1","166","5156","","","","752","752","752","18P3R3A11_00322","37P2R3-2A1_00594","38P2R3A13_00439","47P2R3A6_01919","52P2R3A10_00438","56P2R2A4_01970"
"alaA","","Glutamate-pyruvate aminotransferase AlaA","6","6","1","166","6405","","","","1214","1214","1214","18P3R3A11_02399","37P2R3-2A1_01858","38P2R3A13_02826","47P2R3A6_00234","52P2R3A10_01917","56P2R2A4_01640"
"nuoC","","NADH-quinone oxidoreductase subunit C/D","6","6","1","166","6401","","","","1802","1802","1802","18P3R3A11_02403","37P2R3-2A1_01854","38P2R3A13_02830","47P2R3A6_00238","52P2R3A10_01921","56P2R2A4_01644"
"hisM","","Histidine transport system permease protein HisM","6","6","1","166","6448","","","","713","716","715","18P3R3A11_02377","37P2R3-2A1_01880","38P2R3A13_02804","47P2R3A6_00212","52P2R3A10_01895","56P2R2A4_01618"
"accC","","Biotin carboxylase","6","6","1","166","1550","","","","1349","1349","1349","18P3R3A11_02733","37P2R3-2A1_03511","38P2R3A13_04485","47P2R3A6_01348","52P2R3A10_02816","56P2R2A4_02877"
"corA","","Magnesium transport protein CorA","6","6","1","168","513","","","","950","950","950","18P3R3A11_02135","37P2R3-2A1_03235","38P2R3A13_04191","47P2R3A6_04357","52P2R3A10_04019","56P2R2A4_03827"
"ybaN","","Inner membrane protein YbaN","6","6","1","166","7202","","","","377","377","377","18P3R3A11_02250","37P2R3-2A1_01385","38P2R3A13_01195","47P2R3A6_03483","52P2R3A10_01329","56P2R2A4_00831"
"trxA","","Thioredoxin 1","6","6","1","168","558","","","","329","329","329","18P3R3A11_02165","37P2R3-2A1_03265","38P2R3A13_04221","47P2R3A6_04328","52P2R3A10_04049","56P2R2A4_03798"
"asnB","","Asparagine synthetase B [glutamine-hydrolyzing]","6","6","1","166","7540","","","","1664","1664","1664","18P3R3A11_01269","37P2R3-2A1_01600","38P2R3A13_04291","47P2R3A6_03128","52P2R3A10_01138","56P2R2A4_01028"
"dnaN","","Beta sliding clamp","6","6","1","168","161","","","","1100","1100","1100","18P3R3A11_02921","37P2R3-2A1_04225","38P2R3A13_03348","47P2R3A6_03760","52P2R3A10_03665","56P2R2A4_03644"
"grxD","","Glutaredoxin 4","6","6","1","166","839","","","","347","347","347","18P3R3A11_00374","37P2R3-2A1_00539","38P2R3A13_00491","47P2R3A6_01971","52P2R3A10_00490","56P2R2A4_02025"
"fbp","","Fructose-1,6-bisphosphatase class 1","6","6","1","167","917","","","","998","998","998","18P3R3A11_02060","37P2R3-2A1_02127","38P2R3A13_02198","47P2R3A6_02756","52P2R3A10_03080","56P2R2A4_02596"
"metN_2","","Methionine import ATP-binding protein MetN","6","6","1","167","208","","","","1031","1031","1031","18P3R3A11_03466","37P2R3-2A1_02510","38P2R3A13_03581","47P2R3A6_02399","52P2R3A10_02371","56P2R2A4_02271"
"sucC","","Succinate--CoA ligase [ADP-forming] subunit beta","6","6","1","166","7584","","","","1166","1166","1166","18P3R3A11_01305","37P2R3-2A1_01636","38P2R3A13_04794","47P2R3A6_03092","52P2R3A10_01101","56P2R2A4_01064"
"rpoB","","DNA-directed RNA polymerase subunit beta","6","6","1","172","34","","","","4028","4028","4028","18P3R3A11_04349","37P2R3-2A1_04338","38P2R3A13_05557","47P2R3A6_04516","52P2R3A10_04245","56P2R2A4_04098"
"cheB","","Protein-glutamate methylesterase/protein-glutamine glutaminase","6","6","1","166","2717","","","","1049","1049","1049","18P3R3A11_01665","37P2R3-2A1_03051","38P2R3A13_01826","47P2R3A6_00658","52P2R3A10_01707","56P2R2A4_00113"
"dnaB","","Replicative DNA helicase","6","6","1","169","640","","","","1412","1412","1412","18P3R3A11_04116","37P2R3-2A1_04029","38P2R3A13_03116","47P2R3A6_04175","52P2R3A10_03558","56P2R2A4_03709"
"metK","","S-adenosylmethionine synthase","6","6","1","166","2000","","","","1154","1154","1154","18P3R3A11_01056","37P2R3-2A1_02610","38P2R3A13_04816","47P2R3A6_01643","52P2R3A10_04109","56P2R2A4_03330"
"cysE_2","","Serine acetyltransferase","6","6","1","168","622","","","","821","821","821","18P3R3A11_02170","37P2R3-2A1_03270","38P2R3A13_03991","47P2R3A6_03644","52P2R3A10_03978","56P2R2A4_03440"
"asnC","","Regulatory protein AsnC","6","6","1","168","117","","","","458","458","458","18P3R3A11_02887","37P2R3-2A1_04258","38P2R3A13_03318","47P2R3A6_03790","52P2R3A10_03635","56P2R2A4_03674"
"adk","","Adenylate kinase","6","6","1","166","7208","","","","644","644","644","18P3R3A11_02244","37P2R3-2A1_01391","38P2R3A13_01189","47P2R3A6_03489","52P2R3A10_01323","56P2R2A4_00837"
"tpiA","","Triosephosphate isomerase","6","6","1","170","77","","","","767","767","767","18P3R3A11_03947","37P2R3-2A1_03838","38P2R3A13_03899","47P2R3A6_04250","52P2R3A10_03876","56P2R2A4_03539"
"fliA","","RNA polymerase sigma factor FliA","6","6","1","166","2640","","","","719","719","719","18P3R3A11_01616","37P2R3-2A1_03002","38P2R3A13_01608","47P2R3A6_00603","52P2R3A10_01779","56P2R2A4_00064"
"mglB","","D-galactose-binding periplasmic protein","6","6","1","166","6268","","","","998","998","998","18P3R3A11_04197","37P2R3-2A1_01768","38P2R3A13_01392","47P2R3A6_00330","52P2R3A10_02003","56P2R2A4_01725"
"rpsD","","30S ribosomal protein S4","6","6","1","171","65","","","","620","620","620","18P3R3A11_04429","37P2R3-2A1_04386","38P2R3A13_05905","47P2R3A6_04552","52P2R3A10_04293","56P2R2A4_04135"
"tolR","","Tol-Pal system protein TolR","6","6","1","166","7595","","","","428","428","428","18P3R3A11_01316","37P2R3-2A1_01647","38P2R3A13_04783","47P2R3A6_03081","52P2R3A10_01090","56P2R2A4_01072"
"ybfE","","putative protein YbfE","6","6","1","166","7557","","","","287","287","287","18P3R3A11_01280","37P2R3-2A1_01611","38P2R3A13_04302","47P2R3A6_03117","52P2R3A10_01126","56P2R2A4_01039"
"acrA","","Multidrug efflux pump subunit AcrA","6","6","1","166","7197","","","","1193","1193","1193","18P3R3A11_02255","37P2R3-2A1_01380","38P2R3A13_01200","47P2R3A6_03478","52P2R3A10_01334","56P2R2A4_00826"
"lptB_4","","Lipopolysaccharide export system ATP-binding protein LptB","6","6","1","169","386","","","","767","767","767","18P3R3A11_01839","37P2R3-2A1_02903","38P2R3A13_03090","47P2R3A6_03901","52P2R3A10_03532","56P2R2A4_03735"
"ssb","","Single-stranded DNA-binding protein","6","6","1","169","649","","","","527","530","529","18P3R3A11_04573","37P2R3-2A1_04035","38P2R3A13_03131","47P2R3A6_04166","52P2R3A10_03573","56P2R2A4_03694"
"dksA","","RNA polymerase-binding transcription factor DksA","6","6","1","167","288","","","","455","455","455","18P3R3A11_03522","37P2R3-2A1_02454","38P2R3A13_03529","47P2R3A6_02451","52P2R3A10_02319","56P2R2A4_02323"
"ahpC_1","","Alkyl hydroperoxide reductase C","6","6","1","166","7106","","","","602","602","602","18P3R3A11_02328","37P2R3-2A1_01307","38P2R3A13_01272","47P2R3A6_03407","52P2R3A10_01406","56P2R2A4_00756"
"dapD","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase","6","6","1","167","251","","","","824","824","824","18P3R3A11_03499","37P2R3-2A1_02477","38P2R3A13_03548","47P2R3A6_02432","52P2R3A10_02338","56P2R2A4_02304"
"tesB","","Acyl-CoA thioesterase 2","6","6","1","166","7173","","","","860","860","860","18P3R3A11_02275","37P2R3-2A1_01360","38P2R3A13_01220","47P2R3A6_03457","52P2R3A10_01354","56P2R2A4_00806"
"cyoB","","Cytochrome bo(3) ubiquinol oxidase subunit 1","6","6","1","166","7150","","","","1991","1991","1991","18P3R3A11_02299","37P2R3-2A1_01336","38P2R3A13_01244","47P2R3A6_03435","52P2R3A10_01378","56P2R2A4_00784"
"oxyR_2","","Hydrogen peroxide-inducible genes activator","6","6","1","170","37","","","","917","917","917","18P3R3A11_03917","37P2R3-2A1_03808","38P2R3A13_07102","47P2R3A6_04221","52P2R3A10_03907","56P2R2A4_03510"
"fdoH","","Formate dehydrogenase-O iron-sulfur subunit","6","6","1","170","140","","","","902","902","902","18P3R3A11_04320","37P2R3-2A1_03876","38P2R3A13_03869","47P2R3A6_04279","52P2R3A10_03846","56P2R2A4_03568"
"icd","","Isocitrate dehydrogenase [NADP]","6","6","1","166","1054","","","","1250","1250","1250","18P3R3A11_00527","37P2R3-2A1_00379","38P2R3A13_00637","47P2R3A6_02135","52P2R3A10_00633","56P2R2A4_02168"
"pdhR","","Pyruvate dehydrogenase complex repressor","6","6","1","167","348","","","","764","764","764","18P3R3A11_03687","37P2R3-2A1_02420","38P2R3A13_03504","47P2R3A6_02477","52P2R3A10_02294","56P2R2A4_02348"
"rpsG","","30S ribosomal protein S7","6","6","1","169","238","","","","470","470","470","18P3R3A11_01935","37P2R3-2A1_02805","38P2R3A13_02303","47P2R3A6_03804","52P2R3A10_03185","56P2R2A4_03205"
"cysD","","Sulfate adenylyltransferase subunit 2","6","6","1","166","4518","","","","908","908","908","18P3R3A11_04221","37P2R3-2A1_02785","38P2R3A13_02046","47P2R3A6_01805","52P2R3A10_02532","56P2R2A4_02704"
"rng","","Ribonuclease G","6","6","1","166","1564","","","","1469","1469","1469","18P3R3A11_02722","37P2R3-2A1_03500","38P2R3A13_04496","47P2R3A6_01359","52P2R3A10_02805","56P2R2A4_02888"
"celA_2","","PTS system cellobiose-specific EIIB component","6","6","1","172","37","","","","305","308","307","18P3R3A11_04352","37P2R3-2A1_04341","38P2R3A13_05560","47P2R3A6_04513","52P2R3A10_04248","56P2R2A4_04101"
"metI","","D-methionine transport system permease protein MetI","6","6","1","167","209","","","","653","653","653","18P3R3A11_03467","37P2R3-2A1_02509","38P2R3A13_03580","47P2R3A6_02400","52P2R3A10_02370","56P2R2A4_02272"
"hisG","","ATP phosphoribosyltransferase","6","6","1","166","6027","","","","899","899","899","18P3R3A11_03379","37P2R3-2A1_03723","38P2R3A13_01512","47P2R3A6_00456","52P2R3A10_02123","56P2R2A4_04176"
"cysB","","HTH-type transcriptional regulator CysB","6","6","1","166","3221","","","","974","974","974","18P3R3A11_00724","37P2R3-2A1_01117","38P2R3A13_02695","47P2R3A6_00938","52P2R3A10_03426","56P2R2A4_00401"
"rplR","","50S ribosomal protein L18","6","6","1","171","58","","","","353","353","353","18P3R3A11_04436","37P2R3-2A1_04379","38P2R3A13_05898","47P2R3A6_04545","52P2R3A10_04286","56P2R2A4_04142"
"groS","","10 kDa chaperonin","6","6","1","167","796","","","","293","293","293","18P3R3A11_01967","37P2R3-2A1_03941","38P2R3A13_02277","47P2R3A6_02848","52P2R3A10_03159","56P2R2A4_03917"
"mnmG","","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG","6","6","1","168","120","","","","1889","1889","1889","18P3R3A11_02889","37P2R3-2A1_04256","38P2R3A13_03320","47P2R3A6_03788","52P2R3A10_03637","56P2R2A4_03672"
"rplA","","50S ribosomal protein L1","6","6","1","172","31","","","","704","704","704","18P3R3A11_04346","37P2R3-2A1_04335","38P2R3A13_05554","47P2R3A6_04519","52P2R3A10_04242","56P2R2A4_04095"
"atpA","","ATP synthase subunit alpha","6","6","1","168","128","","","","1541","1541","1541","18P3R3A11_02896","37P2R3-2A1_04249","38P2R3A13_03327","47P2R3A6_03781","52P2R3A10_03644","56P2R2A4_03665"
"rplD","","50S ribosomal protein L4","6","6","1","171","43","","","","605","605","605","18P3R3A11_04451","37P2R3-2A1_04364","38P2R3A13_05883","47P2R3A6_04530","52P2R3A10_04271","56P2R2A4_04157"
"rho","","Transcription termination factor Rho","6","6","1","168","557","","","","1259","1259","1259","18P3R3A11_02164","37P2R3-2A1_03264","38P2R3A13_04220","47P2R3A6_04329","52P2R3A10_04048","56P2R2A4_03799"
"ntrC","","DNA-binding transcriptional regulator NtrC","6","6","1","170","190","","","","1412","1412","1412","18P3R3A11_04381","37P2R3-2A1_03898","38P2R3A13_03857","47P2R3A6_04299","52P2R3A10_03834","56P2R2A4_03585"
"gntT","","High-affinity gluconate transporter","6","6","1","169","341","","","","1316","1316","1316","18P3R3A11_01869","37P2R3-2A1_02873","38P2R3A13_02370","47P2R3A6_03872","52P2R3A10_03252","56P2R2A4_03147"
"ubiG","","Ubiquinone biosynthesis O-methyltransferase","6","6","1","166","6343","","","","728","728","728","18P3R3A11_02439","37P2R3-2A1_01818","38P2R3A13_02861","47P2R3A6_00274","52P2R3A10_01952","56P2R2A4_01675"
"gpt","","Xanthine phosphoribosyltransferase","6","6","1","166","7016","","","","458","458","458","18P3R3A11_03300","37P2R3-2A1_01234","38P2R3A13_01336","47P2R3A6_03333","52P2R3A10_01470","56P2R2A4_03955"
"yhcB","","Inner membrane protein YhcB","6","6","1","166","1580","","","","398","398","398","18P3R3A11_02707","37P2R3-2A1_03485","38P2R3A13_04511","47P2R3A6_01375","52P2R3A10_02790","56P2R2A4_02903"
"pykA","","Pyruvate kinase II","6","6","1","166","2751","","","","1442","1442","1442","18P3R3A11_01696","37P2R3-2A1_03082","38P2R3A13_01795","47P2R3A6_00685","52P2R3A10_01676","56P2R2A4_00144"
"phoB","","Phosphate regulon transcriptional regulatory protein PhoB","6","6","1","166","7093","","","","689","689","689","18P3R3A11_02335","37P2R3-2A1_01300","38P2R3A13_01279","47P2R3A6_03399","52P2R3A10_01413","56P2R2A4_00749"
"group_10467","fdoG_1","Formate dehydrogenase-O major subunit","6","6","1","170","139","","","","2414","2414","2414","18P3R3A11_04321","37P2R3-2A1_03875","38P2R3A13_03870","47P2R3A6_04278","52P2R3A10_03847","56P2R2A4_03567"
"aspA","","Aspartate ammonia-lyase","6","6","1","167","793","","","","1436","1436","1436","18P3R3A11_01964","37P2R3-2A1_03938","38P2R3A13_02280","47P2R3A6_02851","52P2R3A10_03162","56P2R2A4_03920"
"ppiD","","Peptidyl-prolyl cis-trans isomerase D","6","6","1","166","7160","","","","1871","1871","1871","18P3R3A11_02289","37P2R3-2A1_01346","38P2R3A13_01234","47P2R3A6_03445","52P2R3A10_01368","56P2R2A4_00794"
"ychF","","Ribosome-binding ATPase YchF","6","6","1","166","3046","","","","1094","1094","1094","18P3R3A11_04248","37P2R3-2A1_04277","38P2R3A13_02617","47P2R3A6_00798","52P2R3A10_03348","56P2R2A4_00256"
"sdhD","","Succinate dehydrogenase hydrophobic membrane anchor subunit","6","6","1","166","7579","","","","347","347","347","18P3R3A11_01300","37P2R3-2A1_01631","38P2R3A13_04799","47P2R3A6_03097","52P2R3A10_01106","56P2R2A4_01059"
"secE","","Protein translocase subunit SecE","6","6","1","172","28","","","","383","383","383","18P3R3A11_04343","37P2R3-2A1_04332","38P2R3A13_05551","47P2R3A6_04522","52P2R3A10_04239","56P2R2A4_04092"
